P07201	P07201.2	CGI_10013928	0.0
P07207	P07207.3	CGI_10003924	4e-81
P07207	P07207.3	CGI_10004834	8e-45
P07207	P07207.3	CGI_10009807	0.0
P07207	P07207.3	CGI_10012796	2e-35
P07207	P07207.3	CGI_10013186	0.0
P07207	P07207.3	CGI_10013841	2e-17
P07207	P07207.3	CGI_10017493	7e-24
P07207	P07207.3	CGI_10017875	2e-20
P07207	P07207.3	CGI_10017889	0.0
P07207	P07207.3	CGI_10022703	0.0
P07228	P07228.1	CGI_10009280	8e-25
P07290	P07290.1	CGI_10005667	2e-57
P07291	P07291.2	CGI_10018235	4e-47
P07314	P07314.4	CGI_10002625	3e-158
P07314	P07314.4	CGI_10027251	2e-39
P07314	P07314.4	CGI_10027341	4e-90
P07439	P07439.2	CGI_10014511	4e-17
P07439	P07439.2	CGI_10015654	9e-11
P07439	P07439.2	CGI_10019215	3e-12
P07439	P07439.2	CGI_10021085	2e-16
P07439	P07439.2	CGI_10025155	3e-17
P07439	P07439.2	CGI_10026489	3e-13
P07451	P07451.3	CGI_10020143	2e-32
P07463	P07463.3	CGI_10014520	7e-55
P07511	P07511.2	CGI_10014474	0.0
P07607	P07607.1	CGI_10000130	8e-63
P07607	P07607.1	CGI_10021031	3e-151
P07686	P07686.3	CGI_10001718	2e-137
P07686	P07686.3	CGI_10004592	2e-47
P07686	P07686.3	CGI_10007196	5e-129
P07727	P07727.4	CGI_10024619	4e-78
P07742	P07742.2	CGI_10023775	0.0
P07797	P07797.1	CGI_10023568	8e-26
P07813	P07813.2	CGI_10000012	4e-142
P07872	P07872.1	CGI_10015195	0.0
P07872	P07872.1	CGI_10020067	9e-174
P07898	P07898.2	CGI_10007353	6e-16
P07898	P07898.2	CGI_10010693	1e-20
P07902	P07902.3	CGI_10005216	5e-124
P07911	P07911.1	CGI_10003431	1e-15
P07943	P07943.3	CGI_10004769	4e-102
P07949	P07949.3	CGI_10015664	5e-124
P07992	P07992.1	CGI_10010498	2e-56
P07996	P07996.2	CGI_10004447	7e-13
P07996	P07996.2	CGI_10024126	2e-29
P07996	P07996.2	CGI_10026767	2e-24
P08004	P08004.2	CGI_10010453	1e-18
P08004	P08004.2	CGI_10011460	4e-11
P08004	P08004.2	CGI_10015842	9e-19
P08011	P08011.3	CGI_10002361	6e-37
P08021	P08021.3	CGI_10026124	1e-15
P08045	P08045.1	CGI_10019137	1e-69
P08045	P08045.1	CGI_10022317	1e-10
P08121	P08121.4	CGI_10007725	3e-46
P08125	P08125.4	CGI_10011639	8e-07
P08183	P08183.3	CGI_10000886	0.0
P08183	P08183.3	CGI_10015978	0.0
P08183	P08183.3	CGI_10017999	0.0
P08201	P08201.4	CGI_10000800	1e-56
P08201	P08201.4	CGI_10000801	0.0
P08228	P08228.2	CGI_10017958	5e-76
P08266	P08266.2	CGI_10023268	9e-26
P08290	P08290.4	CGI_10022406	1e-20
P08297	P08297.2	CGI_10022892	9e-15
P08428	P08428.1	CGI_10019448	3e-27
P08472	P08472.2	CGI_10004479	1e-27
P08472	P08472.2	CGI_10017210	3e-25
P08478	P08478.3	CGI_10020857	2e-69
P08478	P08478.3	CGI_10027471	6e-84
P08483	P08483.1	CGI_10020749	3e-13
P08510	P08510.3	CGI_10015111	0.0
P08575	P08575.2	CGI_10001562	7e-09
P08621	P08621.2	CGI_10015112	4e-65
P08630	P08630.2	CGI_10015507	2e-104
P08635	P08635.1	CGI_10013665	8e-59
P08640	P08640.2	CGI_10006728	6e-06
P08640	P08640.2	CGI_10007271	4e-07
P08640	P08640.2	CGI_10014329	1e-07
P08640	P08640.2	CGI_10023096	6e-10
P08645	P08645.2	CGI_10002759	1e-24
P08645	P08645.2	CGI_10026611	3e-23
P08645	P08645.2	CGI_10027685	3e-09
P08645	P08645.2	CGI_10027951	2e-81
P08682	P08682.2	CGI_10028307	3e-48
P08684	P08684.4	CGI_10001503	1e-57
P08684	P08684.4	CGI_10009937	1e-70
P08761	P08761.2	CGI_10007727	3e-43
P08799	P08799.3	CGI_10027026	2e-06
P08836	P08836.2	CGI_10004884	1e-128
P08842	P08842.2	CGI_10009924	8e-137
P08911	P08911.1	CGI_10026715	4e-68
P08941	P08941.3	CGI_10021867	0.0
P08953	P08953.1	CGI_10002656	3e-31
P08953	P08953.1	CGI_10003134	8e-18
P08953	P08953.1	CGI_10013178	2e-14
P08953	P08953.1	CGI_10013179	2e-15
P08953	P08953.1	CGI_10013180	2e-17
P08953	P08953.1	CGI_10015565	3e-31
P08953	P08953.1	CGI_10017269	5e-06
P08953	P08953.1	CGI_10022207	4e-23
P08953	P08953.1	CGI_10023106	2e-23
P08953	P08953.1	CGI_10026389	1e-19
P08962	P08962.2	CGI_10000923	5e-07
P08962	P08962.2	CGI_10010785	4e-40
P08962	P08962.2	CGI_10016847	3e-06
P08991	P08991.1	CGI_10001165	4e-20
P09055	P09055.1	CGI_10014761	6e-111
P09057	P09057.1	CGI_10009208	6e-135
P09087	P09087.3	CGI_10027388	3e-22
P09122	P09122.3	CGI_10001752	2e-52
P09125	P09125.1	CGI_10025598	6e-11
P09169	P09169.1	CGI_10002137	0.0
P09172	P09172.3	CGI_10027734	4e-161
P09324	P09324.3	CGI_10015065	2e-159
P09324	P09324.3	CGI_10024845	4e-150
P09478	P09478.2	CGI_10012298	2e-160
P09479	P09479.1	CGI_10015788	1e-55
P09480	P09480.1	CGI_10008537	1e-35
P09480	P09480.1	CGI_10010941	4e-10
P09480	P09480.1	CGI_10019061	3e-17
P09480	P09480.1	CGI_10020157	1e-114
P09481	P09481.2	CGI_10004529	8e-38
P09481	P09481.2	CGI_10015249	1e-33
P09481	P09481.2	CGI_10015250	8e-43
P09481	P09481.2	CGI_10020200	4e-32
P09481	P09481.2	CGI_10024895	2e-41
P09481	P09481.2	CGI_10028377	1e-37
P09482	P09482.1	CGI_10009629	1e-07
P09482	P09482.1	CGI_10013961	1e-71
P09484	P09484.1	CGI_10011047	4e-08
P09484	P09484.1	CGI_10023220	3e-48
P09487	P09487.2	CGI_10005702	5e-157
P09487	P09487.2	CGI_10006640	2e-170
P09487	P09487.2	CGI_10010131	6e-144
P09487	P09487.2	CGI_10010132	2e-140
P09487	P09487.2	CGI_10014047	1e-126
P09487	P09487.2	CGI_10014128	3e-152
P09487	P09487.2	CGI_10014130	3e-146
P09487	P09487.2	CGI_10014131	8e-107
P09623	P09623.1	CGI_10028528	0.0
P09628	P09628.1	CGI_10007754	4e-25
P09648	P09648.1	CGI_10003566	2e-105
P09661	P09661.2	CGI_10000585	6e-51
P09661	P09661.2	CGI_10019926	8e-78
P09661	P09661.2	CGI_10025974	1e-18
P09690	P09690.1	CGI_10005134	2e-39
P09690	P09690.1	CGI_10024903	2e-41
P09848	P09848.3	CGI_10011117	0.0
P09851	P09851.1	CGI_10013036	5e-98
P09889	P09889.4	CGI_10023441	2e-98
P09926	P09926.1	CGI_10007459	2e-34
P09954	P09954.2	CGI_10023189	4e-09
P0A738	P0A738.2	CGI_10002124	8e-110
P0A8F4	P0A8F4.1	CGI_10001955	1e-149
P0A931	P0A931.1	CGI_10001959	0.0
P0A9U1	P0A9U1.1	CGI_10000470	0.0
P0AA84	P0AA84.1	CGI_10002121	0.0
P0AAB2	P0AAB2.1	CGI_10001960	1e-104
P0AAC4	P0AAC4.1	CGI_10002122	1e-73
P0AAW7	P0AAW7.1	CGI_10000047	2e-75
P0AC90	P0AC90.1	CGI_10001967	0.0
P0AD00	P0AD00.1	CGI_10001993	6e-158
P0ADI1	P0ADI1.1	CGI_10022538	3e-134
P0AF00	P0AF00.2	CGI_10002125	8e-39
P0AF49	P0AF49.1	CGI_10006447	2e-26
P0AFQ4	P0AFQ4.1	CGI_10000469	0.0
P0AFQ9	P0AFQ9.1	CGI_10002601	6e-16
P0AFQ9	P0AFQ9.1	CGI_10023137	4e-13
P0AFQ9	P0AFQ9.1	CGI_10027040	1e-13
P0AG82	P0AG82.1	CGI_10010301	3e-07
P0AGE7	P0AGE7.1	CGI_10012025	5e-08
P0AGF8	P0AGF8.1	CGI_10002751	4e-55
P0C1J1	P0C1J1.1	CGI_10012532	5e-26
P0C1J6	P0C1J6.1	CGI_10009074	8e-09
P0C1S9	P0C1S9.1	CGI_10007695	2e-06
P0C218	P0C218.1	CGI_10008614	3e-130
P0C2C1	P0C2C1.1	CGI_10015564	5e-14
P0C605	P0C605.1	CGI_10021854	7e-09
P0C6B8	P0C6B8.1	CGI_10004154	9e-09
P0C6B8	P0C6B8.1	CGI_10008977	2e-19
P0C6B8	P0C6B8.1	CGI_10010708	7e-33
P0C6B8	P0C6B8.1	CGI_10013480	1e-15
P0C6B8	P0C6B8.1	CGI_10016547	2e-22
P0C6B8	P0C6B8.1	CGI_10019507	0.0
P0C6B8	P0C6B8.1	CGI_10019508	0.0
P0C6B8	P0C6B8.1	CGI_10026698	1e-17
P0C6B8	P0C6B8.1	CGI_10028867	1e-06
P0C6F1	P0C6F1.1	CGI_10001284	7e-27
P0C6F1	P0C6F1.1	CGI_10002285	2e-46
P0C6F1	P0C6F1.1	CGI_10008369	7e-40
P0C6F1	P0C6F1.1	CGI_10024947	1e-44
P0C6F1	P0C6F1.1	CGI_10024948	1e-63
P0C6T1	P0C6T1.1	CGI_10026478	8e-36
P0C6Y7	P0C6Y7.1	CGI_10010803	6e-09
P0C7B7	P0C7B7.1	CGI_10005054	3e-09
P0C7B7	P0C7B7.1	CGI_10016975	7e-16
P0C7P0	P0C7P0.1	CGI_10013188	2e-17
P0C7U4	P0C7U4.1	CGI_10005897	1e-14
P0C7U4	P0C7U4.1	CGI_10005898	2e-14
P0C7U4	P0C7U4.1	CGI_10014434	5e-07
P0C7U5	P0C7U5.1	CGI_10009130	1e-07
P0C7W6	P0C7W6.1	CGI_10014380	6e-09
P0C862	P0C862.1	CGI_10022875	5e-07
P0C872	P0C872.1	CGI_10010450	3e-28
P0C872	P0C872.1	CGI_10010451	4e-33
P0C872	P0C872.1	CGI_10027836	4e-120
P0C8Z3	P0C8Z3.1	CGI_10005033	0.0
P0CB05	P0CB05.1	CGI_10022702	2e-91
P0CB42	P0CB42.1	CGI_10016533	1e-68
P0CB95	P0CB95.1	CGI_10010509	6e-54
P0CB97	P0CB97.1	CGI_10008405	9e-98
P0CE10	P0CE10.1	CGI_10010105	2e-90
P0CE10	P0CE10.1	CGI_10021954	0.0
P0CF52	P0CF52.1	CGI_10011956	0.0
P0CG23	P0CG23.1	CGI_10022324	8e-10
P0CG67	P0CG67.1	CGI_10026681	7e-153
P0CI75	P0CI75.1	CGI_10017547	3e-09
P0CP40	P0CP40.1	CGI_10020323	8e-25
P0CP98	P0CP98.1	CGI_10019403	6e-34
P0CW27	P0CW27.1	CGI_10020912	2e-16
P0CW97	P0CW97.1	CGI_10021394	8e-16
P0CY33	P0CY33.1	CGI_10010448	7e-29
P0CY33	P0CY33.1	CGI_10010449	9e-29
P0CY33	P0CY33.1	CGI_10014436	1e-47
P0CY46	P0CY46.1	CGI_10000953	5e-99
P0DJG4	P0DJG4.1	CGI_10008825	4e-29
P10039	P10039.2	CGI_10000434	9e-32
P10039	P10039.2	CGI_10003187	4e-20
P10039	P10039.2	CGI_10010556	3e-21
P10039	P10039.2	CGI_10014178	3e-29
P10039	P10039.2	CGI_10017800	9e-46
P10040	P10040.3	CGI_10012903	5e-09
P10040	P10040.3	CGI_10020870	0.0
P10076	P10076.2	CGI_10015140	4e-34
P10079	P10079.2	CGI_10000286	2e-91
P10079	P10079.2	CGI_10001361	9e-74
P10079	P10079.2	CGI_10002019	9e-50
P10079	P10079.2	CGI_10002616	3e-109
P10079	P10079.2	CGI_10003314	3e-83
P10079	P10079.2	CGI_10003647	8e-141
P10079	P10079.2	CGI_10004531	3e-56
P10079	P10079.2	CGI_10008201	3e-121
P10079	P10079.2	CGI_10009148	3e-142
P10079	P10079.2	CGI_10010565	0.0
P10079	P10079.2	CGI_10010707	6e-116
P10079	P10079.2	CGI_10012160	9e-92
P10079	P10079.2	CGI_10012841	0.0
P10079	P10079.2	CGI_10013125	8e-16
P10079	P10079.2	CGI_10013340	9e-147
P10079	P10079.2	CGI_10013341	6e-162
P10079	P10079.2	CGI_10013342	5e-123
P10079	P10079.2	CGI_10013558	0.0
P10079	P10079.2	CGI_10016708	0.0
P10079	P10079.2	CGI_10018857	2e-130
P10079	P10079.2	CGI_10020050	2e-149
P10079	P10079.2	CGI_10020620	5e-159
P10079	P10079.2	CGI_10021801	2e-25
P10079	P10079.2	CGI_10022320	3e-11
P10079	P10079.2	CGI_10022641	1e-39
P10079	P10079.2	CGI_10023370	4e-63
P10079	P10079.2	CGI_10023626	1e-53
P10079	P10079.2	CGI_10023894	4e-147
P10079	P10079.2	CGI_10024098	6e-96
P10079	P10079.2	CGI_10026029	3e-66
P10079	P10079.2	CGI_10026527	7e-166
P10079	P10079.2	CGI_10027449	1e-123
P10079	P10079.2	CGI_10028743	7e-162
P10090	P10090.2	CGI_10001039	9e-27
P10090	P10090.2	CGI_10010900	4e-47
P10090	P10090.2	CGI_10023323	8e-127
P10155	P10155.2	CGI_10017221	9e-146
P10155	P10155.2	CGI_10026005	5e-84
P10155	P10155.2	CGI_10026052	3e-46
P10155	P10155.2	CGI_10026053	8e-71
P10155	P10155.2	CGI_10026054	1e-113
P10160	P10160.2	CGI_10014111	3e-47
P10181	P10181.4	CGI_10005958	2e-23
P10280	P10280.2	CGI_10013032	2e-14
P10280	P10280.2	CGI_10015567	8e-21
P10351	P10351.2	CGI_10012473	9e-145
P10356	P10356.2	CGI_10020075	2e-16
P10499	P10499.1	CGI_10013397	4e-40
P10533	P10533.1	CGI_10019087	4e-35
P10533	P10533.1	CGI_10023786	3e-78
P10575	P10575.3	CGI_10021681	1e-15
P10587	P10587.4	CGI_10028666	8e-06
P10620	P10620.1	CGI_10019049	3e-29
P10630	P10630.2	CGI_10001554	0.0
P10632	P10632.2	CGI_10007796	2e-112
P10675	P10675.1	CGI_10007276	1e-17
P10716	P10716.1	CGI_10005510	2e-15
P10730	P10730.2	CGI_10006351	8e-13
P10746	P10746.1	CGI_10028893	1e-28
P10751	P10751.2	CGI_10028598	4e-41
P10758	P10758.1	CGI_10017464	2e-21
P10792	P10792.1	CGI_10021362	2e-32
P10805	P10805.2	CGI_10001989	2e-168
P10817	P10817.3	CGI_10000041	4e-08
P10895	P10895.2	CGI_10026114	8e-174
P10982	P10982.1	CGI_10020393	5e-14
P10983	P10983.2	CGI_10017112	8e-154
P11021	P11021.2	CGI_10028173	0.0
P11024	P11024.3	CGI_10012611	0.0
P11029	P11029.1	CGI_10003581	9e-132
P11029	P11029.1	CGI_10004168	0.0
P11029	P11029.1	CGI_10014352	0.0
P11029	P11029.1	CGI_10015097	0.0
P11029	P11029.1	CGI_10024235	0.0
P11031	P11031.3	CGI_10015925	7e-20
P11031	P11031.3	CGI_10018078	9e-06
P11046	P11046.4	CGI_10010695	2e-29
P11046	P11046.4	CGI_10010799	3e-126
P11046	P11046.4	CGI_10010800	3e-07
P11046	P11046.4	CGI_10013432	2e-38
P11046	P11046.4	CGI_10013435	1e-25
P11046	P11046.4	CGI_10021302	2e-86
P11047	P11047.3	CGI_10001011	2e-122
P11047	P11047.3	CGI_10002890	3e-105
P11087	P11087.4	CGI_10019649	3e-15
P11118	P11118.2	CGI_10006119	8e-55
P11121	P11121.2	CGI_10011298	6e-47
P11167	P11167.1	CGI_10012048	7e-125
P11167	P11167.1	CGI_10022166	6e-121
P11170	P11170.1	CGI_10028119	8e-55
P11177	P11177.3	CGI_10009310	6e-166
P11179	P11179.2	CGI_10022027	3e-102
P11230	P11230.3	CGI_10011051	1e-39
P11230	P11230.3	CGI_10014866	7e-40
P11233	P11233.1	CGI_10017805	1e-101
P11240	P11240.1	CGI_10015197	3e-22
P11247	P11247.2	CGI_10013483	1e-73
P11247	P11247.2	CGI_10018163	8e-65
P11276	P11276.3	CGI_10001789	2e-13
P11352	P11352.2	CGI_10017612	2e-57
P11442	P11442.3	CGI_10000271	6e-34
P11442	P11442.3	CGI_10025653	5e-66
P11454	P11454.3	CGI_10002004	0.0
P11465	P11465.2	CGI_10022279	2e-06
P11497	P11497.1	CGI_10003579	2e-109
P11497	P11497.1	CGI_10015096	9e-48
P11497	P11497.1	CGI_10015099	1e-97
P11497	P11497.1	CGI_10015102	5e-96
P11497	P11497.1	CGI_10024921	0.0
P11501	P11501.3	CGI_10017621	0.0
P11532	P11532.3	CGI_10026650	0.0
P11584	P11584.3	CGI_10009281	7e-101
P11654	P11654.1	CGI_10012107	0.0
P11678	P11678.2	CGI_10012306	7e-28
P11678	P11678.2	CGI_10012308	3e-100
P11678	P11678.2	CGI_10026933	3e-115
P11678	P11678.2	CGI_10026934	1e-96
P11711	P11711.2	CGI_10022578	1e-10
P11717	P11717.3	CGI_10023625	0.0
P11799	P11799.2	CGI_10016804	8e-15
P11799	P11799.2	CGI_10023002	2e-14
P11833	P11833.1	CGI_10019835	0.0
P11834	P11834.1	CGI_10011701	2e-31
P11881	P11881.2	CGI_10002543	3e-23
P11881	P11881.2	CGI_10015056	0.0
P11976	P11976.2	CGI_10011175	7e-15
P11976	P11976.2	CGI_10016036	6e-06
P12004	P12004.1	CGI_10026058	6e-136
P12032	P12032.2	CGI_10021843	3e-09
P12036	P12036.4	CGI_10007922	6e-12
P12036	P12036.4	CGI_10013948	1e-08
P12036	P12036.4	CGI_10017439	8e-11
P12107	P12107.4	CGI_10010375	5e-16
P12107	P12107.4	CGI_10010906	6e-45
P12109	P12109.3	CGI_10020044	4e-08
P12111	P12111.5	CGI_10007979	2e-24
P12111	P12111.5	CGI_10023115	4e-11
P12252	P12252.4	CGI_10025317	2e-13
P12263	P12263.2	CGI_10020945	2e-11
P12265	P12265.1	CGI_10014495	0.0
P12270	P12270.3	CGI_10005129	2e-31
P12270	P12270.3	CGI_10015574	0.0
P12276	P12276.5	CGI_10016764	2e-109
P12276	P12276.5	CGI_10019552	0.0
P12276	P12276.5	CGI_10020387	0.0
P12311	P12311.2	CGI_10027939	1e-15
P12370	P12370.3	CGI_10003535	0.0
P12370	P12370.3	CGI_10009216	0.0
P12389	P12389.2	CGI_10009630	6e-93
P12390	P12390.2	CGI_10023078	8e-34
P12394	P12394.1	CGI_10002652	8e-70
P12394	P12394.1	CGI_10022331	7e-71
P12545	P12545.1	CGI_10002384	2e-46
P12545	P12545.1	CGI_10003805	1e-17
P12545	P12545.1	CGI_10004037	2e-17
P12545	P12545.1	CGI_10008185	1e-68
P12545	P12545.1	CGI_10008188	1e-34
P12545	P12545.1	CGI_10028497	3e-15
P12716	P12716.1	CGI_10024579	0.0
P12804	P12804.1	CGI_10003303	4e-35
P12804	P12804.1	CGI_10008744	1e-30
P12804	P12804.1	CGI_10009242	9e-18
P12804	P12804.1	CGI_10009440	1e-24
P12804	P12804.1	CGI_10014735	8e-49
P12804	P12804.1	CGI_10018026	3e-47
P12812	P12812.1	CGI_10013086	9e-14
P12812	P12812.1	CGI_10016020	4e-23
P12815	P12815.2	CGI_10019542	6e-53
P12815	P12815.2	CGI_10023297	3e-90
P12821	P12821.1	CGI_10010252	2e-116
P12821	P12821.1	CGI_10023652	2e-170
P12938	P12938.2	CGI_10001636	7e-54
P12955	P12955.3	CGI_10000975	5e-97
P12955	P12955.3	CGI_10010402	3e-74
P12965	P12965.1	CGI_10025327	1e-51
P12996	P12996.2	CGI_10002132	0.0
P13000	P13000.3	CGI_10002128	3e-88
P13039	P13039.1	CGI_10002003	0.0
P13051	P13051.2	CGI_10006951	9e-118
P13055	P13055.2	CGI_10003107	7e-29
P13055	P13055.2	CGI_10011509	9e-43
P13214	P13214.2	CGI_10001516	1e-09
P13214	P13214.2	CGI_10021225	5e-86
P13214	P13214.2	CGI_10021861	4e-104
P13216	P13216.1	CGI_10003363	1e-24
P13277	P13277.2	CGI_10027418	2e-64
P13280	P13280.3	CGI_10023521	3e-102
P13395	P13395.2	CGI_10025721	0.0
P13590	P13590.3	CGI_10001746	1e-05
P13596	P13596.1	CGI_10026822	2e-07
P13608	P13608.3	CGI_10009161	4e-17
P13612	P13612.3	CGI_10008246	2e-36
P13612	P13612.3	CGI_10021392	4e-08
P13666	P13666.1	CGI_10008403	6e-09
P13667	P13667.2	CGI_10002034	9e-70
P13667	P13667.2	CGI_10019057	0.0
P13668	P13668.2	CGI_10022430	2e-17
P13670	P13670.1	CGI_10002999	4e-124
P13670	P13670.1	CGI_10022781	1e-40
P13674	P13674.2	CGI_10015976	1e-31
P13688	P13688.2	CGI_10027666	3e-11
P13803	P13803.4	CGI_10019654	1e-116
P13806	P13806.1	CGI_10020369	6e-33
P13808	P13808.1	CGI_10014158	0.0
P13830	P13830.1	CGI_10011162	1e-29
P13903	P13903.1	CGI_10013641	7e-40
P13908	P13908.1	CGI_10016138	2e-36
P13941	P13941.3	CGI_10007860	4e-29
P13944	P13944.3	CGI_10004994	3e-15
P13944	P13944.3	CGI_10015689	2e-18
P13944	P13944.3	CGI_10024897	4e-22
P13984	P13984.2	CGI_10009538	2e-37
P14003	P14003.2	CGI_10017390	1e-12
P14003	P14003.2	CGI_10017391	5e-13
P14046	P14046.1	CGI_10026298	2e-07
P14099	P14099.2	CGI_10015032	0.0
P14105	P14105.1	CGI_10006875	3e-29
P14105	P14105.1	CGI_10027888	3e-08
P14133	P14133.1	CGI_10002542	7e-20
P14133	P14133.1	CGI_10007668	2e-45
P14133	P14133.1	CGI_10008969	2e-28
P14133	P14133.1	CGI_10015658	4e-16
P14184	P14184.2	CGI_10016136	3e-07
P14196	P14196.2	CGI_10023127	3e-06
P14210	P14210.2	CGI_10016601	4e-30
P14318	P14318.2	CGI_10020262	7e-52
P14332	P14332.3	CGI_10026514	1e-12
P14373	P14373.1	CGI_10011479	6e-08
P14373	P14373.1	CGI_10011716	3e-08
P14373	P14373.1	CGI_10012521	2e-07
P14373	P14373.1	CGI_10027644	2e-08
P14408	P14408.1	CGI_10016630	0.0
P14543	P14543.3	CGI_10000493	2e-22
P14543	P14543.3	CGI_10003382	3e-79
P14576	P14576.2	CGI_10022034	0.0
P14590	P14590.1	CGI_10025834	1e-11
P14625	P14625.1	CGI_10025730	0.0
P14629	P14629.1	CGI_10015229	8e-85
P14685	P14685.3	CGI_10019058	1e-28
P14685	P14685.3	CGI_10027701	0.0
P14730	P14730.2	CGI_10020702	8e-11
P14755	P14755.3	CGI_10012124	2e-60
P14831	P14831.1	CGI_10025077	1e-10
P14842	P14842.1	CGI_10012065	4e-39
P14866	P14866.2	CGI_10022095	1e-73
P14868	P14868.2	CGI_10021957	0.0
P15043	P15043.5	CGI_10001881	7e-13
P15043	P15043.5	CGI_10002284	5e-14
P15043	P15043.5	CGI_10008353	2e-08
P15043	P15043.5	CGI_10012993	1e-11
P15043	P15043.5	CGI_10016063	3e-08
P15043	P15043.5	CGI_10016986	8e-09
P15043	P15043.5	CGI_10026105	2e-37
P15101	P15101.2	CGI_10002524	1e-24
P15103	P15103.4	CGI_10011674	2e-65
P15103	P15103.4	CGI_10022674	8e-20
P15105	P15105.6	CGI_10015426	0.0
P15122	P15122.3	CGI_10005598	4e-94
P15123	P15123.1	CGI_10005535	6e-32
P15146	P15146.3	CGI_10015120	6e-24
P15170	P15170.1	CGI_10011160	0.0
P15206	P15206.1	CGI_10005142	1e-44
P15253	P15253.1	CGI_10015917	1e-129
P15287	P15287.2	CGI_10012920	4e-57
P15305	P15305.1	CGI_10019302	1e-23
P15308	P15308.1	CGI_10009149	1e-08
P15318	P15318.2	CGI_10001038	7e-30
P15330	P15330.2	CGI_10021567	2e-93
P15336	P15336.4	CGI_10008700	4e-60
P15364	P15364.2	CGI_10006515	2e-06
P15364	P15364.2	CGI_10026721	3e-20
P15381	P15381.1	CGI_10018842	0.0
P15384	P15384.2	CGI_10023257	2e-37
P15408	P15408.1	CGI_10013436	2e-18
P15505	P15505.2	CGI_10021361	0.0
P15533	P15533.2	CGI_10011478	1e-06
P15535	P15535.1	CGI_10028237	7e-73
P15650	P15650.1	CGI_10028471	0.0
P15651	P15651.2	CGI_10025345	2e-179
P15796	P15796.3	CGI_10024853	1e-19
P15800	P15800.1	CGI_10005310	1e-17
P15822	P15822.3	CGI_10015184	1e-41
P15848	P15848.1	CGI_10015367	2e-07
P15848	P15848.1	CGI_10028027	2e-112
P15858	P15858.1	CGI_10025189	5e-36
P15870	P15870.1	CGI_10000402	2e-19
P15870	P15870.1	CGI_10008059	2e-19
P15870	P15870.1	CGI_10008070	1e-22
P15870	P15870.1	CGI_10008075	1e-22
P15870	P15870.1	CGI_10008080	1e-22
P15870	P15870.1	CGI_10008085	1e-22
P15924	P15924.3	CGI_10018998	1e-10
P15989	P15989.2	CGI_10003195	1e-96
P15989	P15989.2	CGI_10016880	2e-13
P16036	P16036.1	CGI_10012871	2e-164
P16056	P16056.1	CGI_10024777	3e-78
P16066	P16066.1	CGI_10001599	9e-138
P16066	P16066.1	CGI_10008024	3e-148
P16066	P16066.1	CGI_10009988	3e-144
P16066	P16066.1	CGI_10015469	0.0
P16066	P16066.1	CGI_10015796	5e-69
P16066	P16066.1	CGI_10023999	9e-16
P16066	P16066.1	CGI_10024000	0.0
P16157	P16157.3	CGI_10001528	3e-22
P16157	P16157.3	CGI_10002778	5e-43
P16157	P16157.3	CGI_10002817	2e-56
P16157	P16157.3	CGI_10002923	5e-57
P16157	P16157.3	CGI_10002946	1e-24
P16157	P16157.3	CGI_10003361	4e-47
P16157	P16157.3	CGI_10004303	1e-24
P16157	P16157.3	CGI_10005301	2e-78
P16157	P16157.3	CGI_10006436	1e-82
P16157	P16157.3	CGI_10012020	2e-86
P16157	P16157.3	CGI_10013902	1e-60
P16157	P16157.3	CGI_10015008	5e-69
P16157	P16157.3	CGI_10019689	4e-61
P16157	P16157.3	CGI_10026812	9e-89
P16157	P16157.3	CGI_10028141	4e-21
P16230	P16230.1	CGI_10005207	7e-19
P16233	P16233.1	CGI_10016455	5e-87
P16257	P16257.1	CGI_10013697	8e-49
P16273	P16273.2	CGI_10003727	1e-17
P16303	P16303.2	CGI_10025887	5e-76
P16303	P16303.2	CGI_10025888	3e-79
P16330	P16330.3	CGI_10006354	3e-33
P16330	P16330.3	CGI_10006355	3e-33
P16354	P16354.3	CGI_10024891	5e-30
P16373	P16373.2	CGI_10027996	2e-15
P16435	P16435.2	CGI_10004396	0.0
P16444	P16444.3	CGI_10017778	5e-92
P16446	P16446.2	CGI_10011471	7e-30
P16446	P16446.2	CGI_10025448	2e-51
P16537	P16537.1	CGI_10008430	1e-18
P16537	P16537.1	CGI_10014516	2e-19
P16537	P16537.1	CGI_10015355	2e-12
P16537	P16537.1	CGI_10023371	1e-16
P16554	P16554.2	CGI_10003959	1e-106
P16591	P16591.2	CGI_10006070	0.0
P16591	P16591.2	CGI_10019153	4e-06
P16621	P16621.2	CGI_10020325	0.0
P16621	P16621.2	CGI_10025381	7e-10
P16884	P16884.4	CGI_10001566	2e-07
P16889	P16889.3	CGI_10022468	3e-53
P16895	P16895.1	CGI_10016291	7e-06
P16924	P16924.1	CGI_10006356	2e-45
P17035	P17035.5	CGI_10004203	8e-43
P17035	P17035.5	CGI_10012911	2e-40
P17038	P17038.4	CGI_10012802	4e-83
P17038	P17038.4	CGI_10014952	2e-85
P17078	P17078.3	CGI_10027197	1e-33
P17081	P17081.2	CGI_10028631	3e-36
P17124	P17124.1	CGI_10008532	7e-08
P17124	P17124.1	CGI_10020237	3e-27
P17139	P17139.4	CGI_10010374	4e-32
P17139	P17139.4	CGI_10018039	0.0
P17139	P17139.4	CGI_10025799	3e-15
P17140	P17140.2	CGI_10018042	0.0
P17141	P17141.4	CGI_10018380	9e-24
P17213	P17213.4	CGI_10021419	2e-19
P17221	P17221.1	CGI_10009072	2e-14
