chr	geneID	genes.start	genes.end	MI.start	MI.end	overlap	length	GOSlim	DML.overlaps
scaffold336	CGI_10012570	219786	227102	226600	227685	501	1085	death	0
scaffold336	CGI_10012570	219786	227102	226600	227685	501	1085	cell organization and biogenesis	0
scaffold336	CGI_10012570	219786	227102	226600	227685	501	1085	cell cycle and proliferation	0
scaffold336	CGI_10012570	219786	227102	226600	227685	501	1085	stress response	0
C35548	CGI_10001549	12842	23964	22667	23180	512	513	stress response	0
C35548	CGI_10001549	12842	23964	22667	23180	512	513	cell cycle and proliferation	0
C35548	CGI_10001549	12842	23964	22667	23180	512	513	DNA metabolism	0
C35548	CGI_10001549	12842	23964	22667	23180	512	513	cell organization and biogenesis	0
scaffold443	CGI_10022766	219708	231842	226718	228377	1658	1659	cell organization and biogenesis	0
scaffold443	CGI_10022766	219708	231842	226718	228377	1658	1659	RNA metabolism	0
scaffold890	CGI_10014473	224824	230137	226779	227280	500	501	signal transduction	0
scaffold890	CGI_10014473	224824	230137	226779	227280	500	501	developmental processes	0
scaffold890	CGI_10014473	224824	230137	226779	227280	500	501	RNA metabolism	0
scaffold890	CGI_10014473	224824	230137	226779	227280	500	501	other metabolic processes	0
scaffold890	CGI_10014473	224824	230137	226779	227280	500	501	cell organization and biogenesis	0
scaffold890	CGI_10014473	224824	230137	226779	227280	500	501	stress response	0
scaffold578	CGI_10015121	219133	234193	226950	228141	1190	1191	cell organization and biogenesis	0
scaffold578	CGI_10015121	219133	234193	226950	228141	1190	1191	transport	0
scaffold578	CGI_10015121	219133	234193	226950	228141	1190	1191	developmental processes	0
scaffold1795	CGI_10002547	18552	37970	22702	23382	679	680	transport	0
scaffold1316	CGI_10016304	224231	227427	227092	228139	334	1047	signal transduction	0
scaffold621	CGI_10017672	127381	238205	227094	227652	557	558	signal transduction	0
scaffold621	CGI_10017672	127381	238205	227094	227652	557	558	death	0
scaffold621	CGI_10017672	127381	238205	227094	227652	557	558	cell cycle and proliferation	0
scaffold621	CGI_10017672	127381	238205	227094	227652	557	558	RNA metabolism	0
scaffold621	CGI_10017672	127381	238205	227094	227652	557	558	developmental processes	0
scaffold621	CGI_10017672	127381	238205	227094	227652	557	558	cell organization and biogenesis	0
scaffold53	CGI_10026654	222404	234686	227109	231043	3933	3934	DNA metabolism	0
scaffold53	CGI_10026654	222404	234686	227109	231043	3933	3934	RNA metabolism	0
scaffold53	CGI_10026654	222404	234686	227109	231043	3933	3934	stress response	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	other metabolic processes	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	cell-cell signaling	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	death	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	developmental processes	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	cell organization and biogenesis	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	transport	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	stress response	0
scaffold190	CGI_10012236	218720	242617	227119	227998	878	879	signal transduction	0
scaffold722	CGI_10012201	213107	274814	227229	229262	2032	2033	cell cycle and proliferation	0
scaffold722	CGI_10012201	213107	274814	227229	229262	2032	2033	protein metabolism	0
scaffold722	CGI_10012201	213107	274814	227229	229262	2032	2033	signal transduction	0
scaffold1812	CGI_10004688	18505	39381	22725	24475	1749	1750	transport	0
scaffold1865	CGI_10013544	222891	259212	227275	227861	585	586	transport	0
scaffold1865	CGI_10013544	222891	259212	227275	227861	585	586	signal transduction	0
scaffold1865	CGI_10013544	222891	259212	227275	227861	585	586	protein metabolism	0
scaffold38922	CGI_10003058	3188	26114	22728	24117	1388	1389	cell organization and biogenesis	0
scaffold38922	CGI_10003058	3188	26114	22728	24117	1388	1389	transport	0
scaffold38922	CGI_10003058	3188	26114	22728	24117	1388	1389	other metabolic processes	0
scaffold38922	CGI_10003058	3188	26114	22728	24117	1388	1389	signal transduction	0
scaffold334	CGI_10025924	225268	234574	227290	258656	7283	31366	transport	0
scaffold334	CGI_10025924	225268	234574	227290	258656	7283	31366	developmental processes	0
scaffold334	CGI_10025924	225268	234574	227290	258656	7283	31366	cell organization and biogenesis	0
scaffold334	CGI_10025926	237506	266565	227290	258656	21150	31366	signal transduction	0
scaffold1446	CGI_10002375	17567	26017	22730	23427	696	697	protein metabolism	0
scaffold305	CGI_10019122	220848	235392	227326	227887	560	561	transport	0
scaffold1258	CGI_10023492	227138	243984	227455	228334	878	879	protein metabolism	0
scaffold335	CGI_10017096	225769	228146	227556	229772	589	2216	transport	0
scaffold335	CGI_10017097	229572	233479	227556	229772	200	2216	stress response	0
scaffold335	CGI_10017097	229572	233479	227556	229772	200	2216	RNA metabolism	0
scaffold43692	CGI_10011820	225344	238853	227580	228243	662	663	transport	0
scaffold43692	CGI_10011820	225344	238853	227580	228243	662	663	cell cycle and proliferation	0
scaffold43692	CGI_10011820	225344	238853	227580	228243	662	663	developmental processes	0
scaffold43692	CGI_10011820	225344	238853	227580	228243	662	663	RNA metabolism	0
scaffold1710	CGI_10022348	219176	247557	227595	228473	877	878	transport	0
scaffold1710	CGI_10022348	219176	247557	227595	228473	877	878	stress response	0
scaffold1503	CGI_10009524	11603	29007	22762	24026	1263	1264	cell organization and biogenesis	0
scaffold1503	CGI_10009524	11603	29007	22762	24026	1263	1264	cell cycle and proliferation	0
scaffold1867	CGI_10006442	6609	38739	22775	23567	791	792	transport	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	cell cycle and proliferation	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	cell adhesion	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	developmental processes	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	death	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	cell organization and biogenesis	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	transport	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	RNA metabolism	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	signal transduction	0
scaffold1605	CGI_10023352	166486	256508	227799	229649	1849	1850	stress response	0
scaffold1704	CGI_10010174	221503	251055	227836	228599	762	763	protein metabolism	0
scaffold1354	CGI_10014938	215870	241076	227896	232858	4961	4962	other metabolic processes	0
scaffold1354	CGI_10014938	215870	241076	227896	232858	4961	4962	developmental processes	0
scaffold1017	CGI_10024989	212687	242435	227956	229307	1350	1351	cell organization and biogenesis	0
scaffold1017	CGI_10024989	212687	242435	227956	229307	1350	1351	stress response	0
scaffold1017	CGI_10024989	212687	242435	227956	229307	1350	1351	RNA metabolism	0
scaffold1017	CGI_10024989	212687	242435	227956	229307	1350	1351	protein metabolism	0
scaffold1017	CGI_10024989	212687	242435	227956	229307	1350	1351	DNA metabolism	0
scaffold1017	CGI_10024989	212687	242435	227956	229307	1350	1351	other metabolic processes	0
scaffold43520	CGI_10010721	184106	230161	227979	228832	852	853	stress response	0
scaffold43520	CGI_10010721	184106	230161	227979	228832	852	853	death	0
scaffold43520	CGI_10010721	184106	230161	227979	228832	852	853	cell organization and biogenesis	0
scaffold43520	CGI_10010721	184106	230161	227979	228832	852	853	transport	0
scaffold737	CGI_10014314	207639	239787	228023	231563	3539	3540	other metabolic processes	0
scaffold1803	CGI_10014050	223598	230209	228033	229748	1714	1715	signal transduction	0
scaffold1803	CGI_10014050	223598	230209	228033	229748	1714	1715	transport	0
scaffold1803	CGI_10014050	223598	230209	228033	229748	1714	1715	cell organization and biogenesis	0
scaffold1803	CGI_10014050	223598	230209	228033	229748	1714	1715	protein metabolism	0
scaffold1803	CGI_10014050	223598	230209	228033	229748	1714	1715	other metabolic processes	0
scaffold713	CGI_10017746	221983	245346	228049	229258	1208	1209	cell organization and biogenesis	0
scaffold713	CGI_10017746	221983	245346	228049	229258	1208	1209	RNA metabolism	0
scaffold713	CGI_10017746	221983	245346	228049	229258	1208	1209	protein metabolism	0
scaffold1865	CGI_10013544	222891	259212	228180	228733	552	553	transport	0
scaffold1865	CGI_10013544	222891	259212	228180	228733	552	553	signal transduction	0
scaffold1865	CGI_10013544	222891	259212	228180	228733	552	553	protein metabolism	0
scaffold890	CGI_10014473	224824	230137	228209	231342	1927	3133	signal transduction	0
scaffold890	CGI_10014473	224824	230137	228209	231342	1927	3133	developmental processes	0
scaffold890	CGI_10014473	224824	230137	228209	231342	1927	3133	RNA metabolism	0
scaffold890	CGI_10014473	224824	230137	228209	231342	1927	3133	other metabolic processes	0
scaffold890	CGI_10014473	224824	230137	228209	231342	1927	3133	cell organization and biogenesis	0
scaffold890	CGI_10014473	224824	230137	228209	231342	1927	3133	stress response	0
scaffold146	CGI_10024892	206988	251697	228266	228904	637	638	signal transduction	0
scaffold146	CGI_10024892	206988	251697	228266	228904	637	638	RNA metabolism	0
scaffold146	CGI_10024892	206988	251697	228266	228904	637	638	death	0
scaffold146	CGI_10024892	206988	251697	228266	228904	637	638	protein metabolism	0
scaffold146	CGI_10024892	206988	251697	228266	228904	637	638	cell organization and biogenesis	0
scaffold146	CGI_10024892	206988	251697	228266	228904	637	638	transport	0
scaffold1035	CGI_10009361	60708	60905	22828	83728	197	60900	death	0
scaffold1035	CGI_10009361	60708	60905	22828	83728	197	60900	stress response	0
scaffold1794	CGI_10019578	202430	246062	228315	229805	1489	1490	signal transduction	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	signal transduction	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	cell cycle and proliferation	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	cell organization and biogenesis	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	developmental processes	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	stress response	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	protein metabolism	0
scaffold237	CGI_10021574	221874	256381	228337	229042	704	705	DNA metabolism	0
scaffold765	CGI_10012473	207882	228566	228432	230834	133	2402	developmental processes	0
scaffold765	CGI_10012473	207882	228566	228432	230834	133	2402	other metabolic processes	0
scaffold616	CGI_10015396	224635	231086	228487	229022	534	535	stress response	0
scaffold616	CGI_10015396	224635	231086	228487	229022	534	535	other metabolic processes	0
scaffold616	CGI_10015396	224635	231086	228487	229022	534	535	protein metabolism	0
scaffold616	CGI_10015396	224635	231086	228487	229022	534	535	signal transduction	0
scaffold616	CGI_10015396	224635	231086	228487	229022	534	535	developmental processes	0
scaffold43692	CGI_10011820	225344	238853	228516	229393	876	877	transport	0
scaffold43692	CGI_10011820	225344	238853	228516	229393	876	877	cell cycle and proliferation	0
scaffold43692	CGI_10011820	225344	238853	228516	229393	876	877	developmental processes	0
scaffold43692	CGI_10011820	225344	238853	228516	229393	876	877	RNA metabolism	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	other metabolic processes	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	cell-cell signaling	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	death	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	developmental processes	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	cell organization and biogenesis	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	transport	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	stress response	0
scaffold190	CGI_10012236	218720	242617	228531	229038	506	507	signal transduction	0
scaffold144	CGI_10022891	224041	230478	228607	229904	1296	1297	cell adhesion	0
scaffold144	CGI_10022891	224041	230478	228607	229904	1296	1297	developmental processes	0
scaffold165	CGI_10015326	223444	232812	228728	231524	2795	2796	developmental processes	0
scaffold165	CGI_10015326	223444	232812	228728	231524	2795	2796	RNA metabolism	0
scaffold165	CGI_10015326	223444	232812	228728	231524	2795	2796	cell organization and biogenesis	0
scaffold759	CGI_10010779	201364	233211	228731	231335	2603	2604	RNA metabolism	0
scaffold122	CGI_10011877	215847	230855	228744	229502	757	758	other metabolic processes	0
scaffold122	CGI_10011877	215847	230855	228744	229502	757	758	RNA metabolism	0
scaffold122	CGI_10011877	215847	230855	228744	229502	757	758	signal transduction	0
scaffold122	CGI_10011877	215847	230855	228744	229502	757	758	death	0
scaffold122	CGI_10011877	215847	230855	228744	229502	757	758	protein metabolism	0
scaffold315	CGI_10020412	218884	229530	228748	230943	781	2195	developmental processes	0
scaffold315	CGI_10020412	218884	229530	228748	230943	781	2195	cell organization and biogenesis	0
scaffold315	CGI_10020412	218884	229530	228748	230943	781	2195	signal transduction	0
scaffold315	CGI_10020412	218884	229530	228748	230943	781	2195	protein metabolism	0
scaffold43452	CGI_10010489	221863	244317	228783	229618	834	835	developmental processes	0
scaffold132	CGI_10004707	23140	32243	22889	25699	2559	2810	transport	1
scaffold132	CGI_10004707	23140	32243	22889	25699	2559	2810	cell organization and biogenesis	1
scaffold557	CGI_10017967	223283	229427	228893	229449	533	556	cell organization and biogenesis	0
scaffold557	CGI_10017967	223283	229427	228893	229449	533	556	transport	0
scaffold557	CGI_10017967	223283	229427	228893	229449	533	556	cell adhesion	0
scaffold1650	CGI_10017775	171974	251292	228930	229594	663	664	developmental processes	0
scaffold1650	CGI_10017775	171974	251292	228930	229594	663	664	cell organization and biogenesis	0
scaffold1650	CGI_10017775	171974	251292	228930	229594	663	664	signal transduction	0
scaffold1476	CGI_10009827	214172	229952	228935	231341	1016	2406	other metabolic processes	0
scaffold1476	CGI_10009827	214172	229952	228935	231341	1016	2406	signal transduction	0
scaffold1476	CGI_10009827	214172	229952	228935	231341	1016	2406	stress response	0
scaffold1262	CGI_10018940	225730	234863	228966	231312	2345	2346	RNA metabolism	0
scaffold1221	CGI_10019722	11974	25890	22897	23746	848	849	RNA metabolism	0
scaffold1221	CGI_10019722	11974	25890	22897	23746	848	849	cell organization and biogenesis	0
scaffold1014	CGI_10020267	225298	237297	229021	229619	597	598	protein metabolism	0
scaffold1014	CGI_10020267	225298	237297	229021	229619	597	598	stress response	0
scaffold1896	CGI_10019631	17840	32148	22907	24171	1263	1264	RNA metabolism	0
scaffold219	CGI_10016620	222236	230297	229111	236710	1185	7599	RNA metabolism	0
scaffold219	CGI_10016621	233554	238746	229111	236710	3156	7599	signal transduction	0
scaffold219	CGI_10016621	233554	238746	229111	236710	3156	7599	protein metabolism	0
scaffold219	CGI_10016621	233554	238746	229111	236710	3156	7599	other metabolic processes	0
scaffold443	CGI_10022766	219708	231842	229133	229874	740	741	cell organization and biogenesis	0
scaffold443	CGI_10022766	219708	231842	229133	229874	740	741	RNA metabolism	0
scaffold1583	CGI_10025818	227324	237330	229227	230293	1065	1066	other metabolic processes	0
scaffold510	CGI_10013770	219167	237960	229268	229830	561	562	death	0
scaffold510	CGI_10013770	219167	237960	229268	229830	561	562	transport	0
C35992	CGI_10001718	18808	28071	22931	23573	641	642	developmental processes	0
C35992	CGI_10001718	18808	28071	22931	23573	641	642	transport	0
C35992	CGI_10001718	18808	28071	22931	23573	641	642	other metabolic processes	0
C35992	CGI_10001718	18808	28071	22931	23573	641	642	protein metabolism	0
C35992	CGI_10001718	18808	28071	22931	23573	641	642	RNA metabolism	0
C35992	CGI_10001718	18808	28071	22931	23573	641	642	cell organization and biogenesis	0
scaffold1362	CGI_10023934	196782	238172	229382	229933	550	551	cell organization and biogenesis	0
scaffold1362	CGI_10023934	196782	238172	229382	229933	550	551	developmental processes	0
scaffold1000	CGI_10013082	211314	230048	229468	230192	579	724	cell organization and biogenesis	0
scaffold41534	CGI_10005249	459	65052	22947	25060	2112	2113	RNA metabolism	0
scaffold41534	CGI_10005249	459	65052	22947	25060	2112	2113	stress response	0
scaffold41534	CGI_10005249	459	65052	22947	25060	2112	2113	DNA metabolism	0
scaffold41534	CGI_10005249	459	65052	22947	25060	2112	2113	protein metabolism	0
scaffold41534	CGI_10005249	459	65052	22947	25060	2112	2113	cell organization and biogenesis	0
scaffold388	CGI_10020448	17607	24192	22954	23787	832	833	cell adhesion	0
scaffold1217	CGI_10010003	224631	235578	229553	230224	670	671	RNA metabolism	0
scaffold208	CGI_10010034	214456	243221	229569	231548	1978	1979	transport	0
scaffold655	CGI_10014955	225207	258283	229593	230399	805	806	transport	0
scaffold655	CGI_10014955	225207	258283	229593	230399	805	806	cell organization and biogenesis	0
scaffold44006	CGI_10015580	227355	240371	229606	231328	1721	1722	transport	0
scaffold43726	CGI_10012027	221786	248971	229650	243251	13600	13601	RNA metabolism	0
scaffold164	CGI_10021857	229674	231549	229697	230225	527	528	RNA metabolism	0
scaffold164	CGI_10021857	229674	231549	229697	230225	527	528	cell organization and biogenesis	0
scaffold164	CGI_10021857	229674	231549	229697	230225	527	528	protein metabolism	0
scaffold38166	CGI_10002654	22309	25422	22974	26295	2447	3321	death	0
scaffold36384	CGI_10001868	18307	25902	22976	23982	1005	1006	cell organization and biogenesis	0
scaffold36384	CGI_10001868	18307	25902	22976	23982	1005	1006	cell cycle and proliferation	0
scaffold36384	CGI_10001868	18307	25902	22976	23982	1005	1006	RNA metabolism	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	signal transduction	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	protein metabolism	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	other metabolic processes	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	stress response	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	developmental processes	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	cell organization and biogenesis	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	cell cycle and proliferation	0
scaffold36094	CGI_10001789	850	27457	22976	24797	1820	1821	cell adhesion	0
scaffold1017	CGI_10024989	212687	242435	229784	230521	736	737	cell organization and biogenesis	0
scaffold1017	CGI_10024989	212687	242435	229784	230521	736	737	stress response	0
scaffold1017	CGI_10024989	212687	242435	229784	230521	736	737	RNA metabolism	0
scaffold1017	CGI_10024989	212687	242435	229784	230521	736	737	protein metabolism	0
scaffold1017	CGI_10024989	212687	242435	229784	230521	736	737	DNA metabolism	0
scaffold1017	CGI_10024989	212687	242435	229784	230521	736	737	other metabolic processes	0
scaffold43686	CGI_10011759	211081	243282	229788	231009	1220	1221	protein metabolism	0
scaffold636	CGI_10003733	621	40115	22988	24021	1032	1033	RNA metabolism	0
scaffold636	CGI_10003733	621	40115	22988	24021	1032	1033	cell organization and biogenesis	0
scaffold44064	CGI_10016764	217164	234293	229900	230879	978	979	other metabolic processes	0
scaffold616	CGI_10015396	224635	231086	229904	230594	689	690	stress response	0
scaffold616	CGI_10015396	224635	231086	229904	230594	689	690	other metabolic processes	0
scaffold616	CGI_10015396	224635	231086	229904	230594	689	690	protein metabolism	0
scaffold616	CGI_10015396	224635	231086	229904	230594	689	690	signal transduction	0
scaffold616	CGI_10015396	224635	231086	229904	230594	689	690	developmental processes	0
scaffold782	CGI_10010140	214275	248332	229959	231111	1151	1152	RNA metabolism	0
scaffold782	CGI_10010140	214275	248332	229959	231111	1151	1152	protein metabolism	0
scaffold782	CGI_10010140	214275	248332	229959	231111	1151	1152	cell organization and biogenesis	0
scaffold1865	CGI_10013544	222891	259212	229974	231085	1110	1111	transport	0
scaffold1865	CGI_10013544	222891	259212	229974	231085	1110	1111	signal transduction	0
scaffold1865	CGI_10013544	222891	259212	229974	231085	1110	1111	protein metabolism	0
scaffold1083	CGI_10016534	228621	231717	229998	230817	818	819	other metabolic processes	0
scaffold1083	CGI_10016534	228621	231717	229998	230817	818	819	transport	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	signal transduction	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	developmental processes	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	protein metabolism	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	cell cycle and proliferation	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	transport	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	other metabolic processes	0
scaffold1093	CGI_10019784	22347	31028	23002	24335	1332	1333	cell organization and biogenesis	0
scaffold335	CGI_10017097	229572	233479	230036	231676	1639	1640	stress response	0
scaffold335	CGI_10017097	229572	233479	230036	231676	1639	1640	RNA metabolism	0
scaffold722	CGI_10012201	213107	274814	230050	230916	865	866	cell cycle and proliferation	0
scaffold722	CGI_10012201	213107	274814	230050	230916	865	866	protein metabolism	0
scaffold722	CGI_10012201	213107	274814	230050	230916	865	866	signal transduction	0
scaffold1409	CGI_10013785	225555	267916	230108	232328	2219	2220	other metabolic processes	0
scaffold1409	CGI_10013785	225555	267916	230108	232328	2219	2220	transport	0
scaffold1409	CGI_10013785	225555	267916	230108	232328	2219	2220	developmental processes	0
scaffold43692	CGI_10011820	225344	238853	230143	231418	1274	1275	transport	0
scaffold43692	CGI_10011820	225344	238853	230143	231418	1274	1275	cell cycle and proliferation	0
scaffold43692	CGI_10011820	225344	238853	230143	231418	1274	1275	developmental processes	0
scaffold43692	CGI_10011820	225344	238853	230143	231418	1274	1275	RNA metabolism	0
scaffold1897	CGI_10020917	190471	249775	230148	231022	873	874	signal transduction	0
scaffold1897	CGI_10020917	190471	249775	230148	231022	873	874	transport	0
scaffold1897	CGI_10020917	190471	249775	230148	231022	873	874	cell-cell signaling	0
scaffold144	CGI_10022891	224041	230478	230157	231584	320	1427	cell adhesion	0
scaffold144	CGI_10022891	224041	230478	230157	231584	320	1427	developmental processes	0
scaffold39470	CGI_10003379	18519	32880	23024	24393	1368	1369	transport	0
scaffold39470	CGI_10003379	18519	32880	23024	24393	1368	1369	cell organization and biogenesis	0
scaffold1583	CGI_10025818	227324	237330	230299	233794	3494	3495	other metabolic processes	0
scaffold713	CGI_10017746	221983	245346	230429	231943	1513	1514	cell organization and biogenesis	0
scaffold713	CGI_10017746	221983	245346	230429	231943	1513	1514	RNA metabolism	0
scaffold713	CGI_10017746	221983	245346	230429	231943	1513	1514	protein metabolism	0
scaffold787	CGI_10011650	219328	253031	230438	231381	942	943	cell cycle and proliferation	0
scaffold787	CGI_10011650	219328	253031	230438	231381	942	943	cell organization and biogenesis	0
C31060	CGI_10000697	317	6452	2305	2816	510	511	signal transduction	0
scaffold1723	CGI_10010531	230811	241159	230526	231388	577	862	protein metabolism	0
scaffold163	CGI_10018619	217699	234188	230544	236067	3643	5523	RNA metabolism	0
scaffold163	CGI_10018619	217699	234188	230544	236067	3643	5523	developmental processes	0
scaffold163	CGI_10018619	217699	234188	230544	236067	3643	5523	transport	0
scaffold163	CGI_10018619	217699	234188	230544	236067	3643	5523	cell-cell signaling	0
scaffold163	CGI_10018619	217699	234188	230544	236067	3643	5523	cell organization and biogenesis	0
scaffold852	CGI_10012043	228347	261177	230561	235150	4588	4589	transport	0
scaffold852	CGI_10012043	228347	261177	230561	235150	4588	4589	cell organization and biogenesis	0
scaffold852	CGI_10012043	228347	261177	230561	235150	4588	4589	cell-cell signaling	0
scaffold852	CGI_10012043	228347	261177	230561	235150	4588	4589	developmental processes	0
scaffold852	CGI_10012043	228347	261177	230561	235150	4588	4589	other metabolic processes	0
scaffold1767	CGI_10016917	230822	248481	230613	234787	3965	4174	cell-cell signaling	0
scaffold1767	CGI_10016917	230822	248481	230613	234787	3965	4174	transport	0
scaffold576	CGI_10018765	220003	241045	230623	234017	3393	3394	death	0
scaffold576	CGI_10018765	220003	241045	230623	234017	3393	3394	transport	0
scaffold576	CGI_10018765	220003	241045	230623	234017	3393	3394	DNA metabolism	0
scaffold576	CGI_10018765	220003	241045	230623	234017	3393	3394	cell organization and biogenesis	0
scaffold1788	CGI_10019921	200768	269132	230664	231378	713	714	transport	0
scaffold1788	CGI_10019921	200768	269132	230664	231378	713	714	cell-cell signaling	0
scaffold313	CGI_10026590	220394	244726	230699	231613	913	914	transport	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	other metabolic processes	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	cell-cell signaling	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	death	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	developmental processes	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	cell organization and biogenesis	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	transport	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	stress response	0
scaffold190	CGI_10012236	218720	242617	230717	231703	985	986	signal transduction	0
scaffold802	CGI_10015729	228542	309723	230777	231559	781	782	cell organization and biogenesis	0
scaffold895	CGI_10011338	224828	253637	230782	238843	8060	8061	transport	0
scaffold1017	CGI_10024989	212687	242435	230834	231600	765	766	cell organization and biogenesis	0
scaffold1017	CGI_10024989	212687	242435	230834	231600	765	766	stress response	0
scaffold1017	CGI_10024989	212687	242435	230834	231600	765	766	RNA metabolism	0
scaffold1017	CGI_10024989	212687	242435	230834	231600	765	766	protein metabolism	0
scaffold1017	CGI_10024989	212687	242435	230834	231600	765	766	DNA metabolism	0
scaffold1017	CGI_10024989	212687	242435	230834	231600	765	766	other metabolic processes	0
scaffold36406	CGI_10001891	19284	31016	23089	27353	4263	4264	RNA metabolism	0
scaffold36406	CGI_10001891	19284	31016	23089	27353	4263	4264	cell cycle and proliferation	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	cell cycle and proliferation	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	DNA metabolism	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	other metabolic processes	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	cell organization and biogenesis	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	protein metabolism	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	stress response	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	developmental processes	0
scaffold43576	CGI_10011134	197837	232524	230956	233088	1567	2132	signal transduction	0
scaffold1083	CGI_10016534	228621	231717	230965	231647	681	682	other metabolic processes	0
scaffold1083	CGI_10016534	228621	231717	230965	231647	681	682	transport	0
scaffold43452	CGI_10010489	221863	244317	231012	232508	1495	1496	developmental processes	0
scaffold43574	CGI_10010882	230613	242715	231036	231942	905	906	cell organization and biogenesis	0
scaffold43574	CGI_10010882	230613	242715	231036	231942	905	906	cell cycle and proliferation	0
scaffold43574	CGI_10010882	230613	242715	231036	231942	905	906	developmental processes	0
scaffold449	CGI_10010965	218941	241658	231086	232661	1574	1575	protein metabolism	0
scaffold449	CGI_10010965	218941	241658	231086	232661	1574	1575	cell organization and biogenesis	0
scaffold146	CGI_10024892	206988	251697	231104	232005	900	901	signal transduction	0
scaffold146	CGI_10024892	206988	251697	231104	232005	900	901	RNA metabolism	0
scaffold146	CGI_10024892	206988	251697	231104	232005	900	901	death	0
scaffold146	CGI_10024892	206988	251697	231104	232005	900	901	protein metabolism	0
scaffold146	CGI_10024892	206988	251697	231104	232005	900	901	cell organization and biogenesis	0
scaffold146	CGI_10024892	206988	251697	231104	232005	900	901	transport	0
scaffold53	CGI_10026654	222404	234686	231163	231715	551	552	DNA metabolism	0
scaffold53	CGI_10026654	222404	234686	231163	231715	551	552	RNA metabolism	0
scaffold53	CGI_10026654	222404	234686	231163	231715	551	552	stress response	0
scaffold43028	CGI_10008503	23422	32905	23118	30764	7342	7646	RNA metabolism	0
scaffold40948	CGI_10004610	20895	33912	23119	24141	1021	1022	cell organization and biogenesis	0
scaffold40948	CGI_10004610	20895	33912	23119	24141	1021	1022	cell cycle and proliferation	0
scaffold443	CGI_10022766	219708	231842	231240	231809	568	569	cell organization and biogenesis	0
scaffold443	CGI_10022766	219708	231842	231240	231809	568	569	RNA metabolism	0
scaffold305	CGI_10019122	220848	235392	231283	232923	1639	1640	transport	0
