A0NGI1	CGI_10010648	Transmembrane protein 234 homolog
Q8BZI6	CGI_10023669	Protein GUCD1 (Guanylyl cyclase domain-containing protein 1) (Protein LLN4)
Q8C033	CGI_10027500	Rho guanine nucleotide exchange factor 10
Q8CDF7	CGI_10021786	piRNA biogenesis protein EXD1 (Exonuclease 3'-5' domain-containing protein 1) (Exonuclease 3'-5' domain-like-containing protein 1) (Inactive exonuclease EXD1) (mExd1)
Q8CFA2	CGI_10019480	Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)
Q8CFI5	CGI_10019275	Probable proline--tRNA ligase, mitochondrial (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)
Q8CGS4	CGI_10003741	Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24) (rVps24p)
Q8CIV2	CGI_10015150	Membralin (Transmembrane protein 259)
Q8IQC1	CGI_10014583	Uncharacterized Golgi apparatus membrane protein-like protein CG5021
Q8IWG1	CGI_10026357	WD repeat-containing protein 63 (Testis development protein NYD-SP29)
Q8K0U4	CGI_10004348	Heat shock 70 kDa protein 12A
Q8K2Y0	CGI_10009492	RING finger protein 219
Q8K4K5	CGI_10007347	Lethal(2) giant larvae protein homolog 1 (LLGL) (Rgl-1)
Q8N157	CGI_10027970	Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1)
Q8N448	CGI_10009129	Ligand of Numb protein X 2 (Numb-binding protein 2) (PDZ domain-containing RING finger protein 1)
Q8NDA8	CGI_10011064	Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A)
Q8NFA0	CGI_10017491	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)
Q8R080	CGI_10007485	G2 and S phase-expressed protein 1 (GTSE-1) (Protein B99)
Q8R1S0	CGI_10021127	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)
Q8R4E0	CGI_10005133	Interferon regulatory factor 2 (IRF-2)
Q8TCB7	CGI_10022734	Methyltransferase-like protein 6 (EC 2.1.1.-)
Q8TDX9	CGI_10013037	Polycystic kidney disease protein 1-like 1 (PC1-like 1 protein) (Polycystin-1L1)
Q8TF62	CGI_10004707	Probable phospholipid-transporting ATPase IM (EC 3.6.3.1) (ATPase class I type 8B member 4) (P4-ATPase flippase complex alpha subunit ATP8B4)
Q8UUY8	CGI_10017492	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)
Q8UVC3	CGI_10007801	Inversin
Q8UVC3	CGI_10013945	Inversin
Q8VHF0	CGI_10019329	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1)
Q8WV92	CGI_10013614	MIT domain-containing protein 1
Q8WV93	CGI_10004178	AFG1-like ATPase (Lactation elevated protein 1) (EC 3.6.-.-) (Protein AFG1 homolog)
Q8WXX0	CGI_10012096	Dynein heavy chain 7, axonemal (Axonemal beta dynein heavy chain 7) (Ciliary dynein heavy chain 7) (Dynein heavy chain-like protein 2) (hDHC2)
Q90Y35	CGI_10003071	Zinc finger protein 622 (Zn-finger protein C47)
Q91048	CGI_10023907	Inactive tyrosine-protein kinase 7 (Kinase-like protein) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)
Q91VA6	CGI_10020052	Polymerase delta-interacting protein 2
Q91YJ2	CGI_10013637	Sorting nexin-4
Q91YN5	CGI_10007751	UDP-N-acetylhexosamine pyrophosphorylase [Includes: UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83); UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23)]
Q920N2	CGI_10012824	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]
Q920R0	CGI_10012236	Alsin (Amyotrophic lateral sclerosis 2 protein homolog)
Q922B6	CGI_10011877	E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7)
Q922B6	CGI_10020331	E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7)
Q922M3	CGI_10025652	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (mBACURD3) (BTB/POZ domain-containing protein KCTD10)
Q92541	CGI_10012696	RNA polymerase-associated protein RTF1 homolog
Q92543	CGI_10026247	Sorting nexin-19
Q92604	CGI_10017167	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (EC 2.3.1.-)
Q92609	CGI_10012476	TBC1 domain family member 5
Q92621	CGI_10026576	Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205)
Q92628	CGI_10011359	Uncharacterized protein KIAA0232
Q93034	CGI_10001200	Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1)
Q94BZ1	CGI_10010913	Protein ZINC INDUCED FACILITATOR-LIKE 1 (Protein ZIF-LIKE 1)
Q95ZJ1	CGI_10004335	Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)
Q95ZJ1	CGI_10020547	Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)
Q969S3	CGI_10003069	Zinc finger protein 622 (Zinc finger-like protein 9)
Q96AE7	CGI_10026556	Tetratricopeptide repeat protein 17 (TPR repeat protein 17)
Q96JG6	CGI_10023639	Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)
Q96JL9	CGI_10012354	Zinc finger protein 333
Q96KG9	CGI_10015257	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)
Q96MM6	CGI_10002794	Heat shock 70 kDa protein 12B
Q96NN9	CGI_10006300	Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein)
Q96RQ3	CGI_10023847	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)
Q96RT7	CGI_10027375	Gamma-tubulin complex component 6 (GCP-6)
Q96SB3	CGI_10022771	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)
Q99502	CGI_10019922	Eyes absent homolog 1 (EC 3.1.3.16) (EC 3.1.3.48)
Q99683	CGI_10011917	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)
Q99700	CGI_10018768	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)
Q99973	CGI_10009375	Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog)
Q99KW9	CGI_10008651	T-cell immunomodulatory protein (Protein TIP) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin)
Q9BQS8	CGI_10017792	FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7)
Q9BUJ2	CGI_10015594	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)
Q9BXB4	CGI_10024079	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)
Q9BYN7	CGI_10019085	Zinc finger protein 341
Q9BYT1	CGI_10015580	Solute carrier family 17 member 9
Q9C0G6	CGI_10020015	Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)
Q9CQ44	CGI_10009639	Transmembrane protein 218
Q9CQL5	CGI_10017508	39S ribosomal protein L18, mitochondrial (L18mt) (MRP-L18)
Q9CSH3	CGI_10020442	Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44)
Q9CX99	CGI_10010584	GRB2-related adapter protein
Q9CXP4	CGI_10026446	Rho GTPase-activating protein 8 (Rho-type GTPase-activating protein 8)
Q9CYA6	CGI_10024516	Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8)
Q9D4W2	CGI_10001227	Uncharacterized protein C11orf65 homolog
Q9DBR7	CGI_10003201	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1)
Q9EPZ8	CGI_10016416	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (Protein ADRG34) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103) (Zfp-103)
Q9H0R3	CGI_10023286	Transmembrane protein 222
Q9H3S7	CGI_10003400	Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14)
Q9H8V3	CGI_10026964	Protein ECT2 (Epithelial cell-transforming sequence 2 oncogene)
Q9HAU5	CGI_10020993	Regulator of nonsense transcripts 2 (Nonsense mRNA reducing factor 2) (Up-frameshift suppressor 2 homolog) (hUpf2)
Q9HBY0	CGI_10001451	NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3)
Q9JHT5	CGI_10022980	AMME syndrome candidate gene 1 protein homolog
Q9M9E8	CGI_10022854	F-box protein At1g78280
Q9NQV6	CGI_10009638	PR domain zinc finger protein 10 (EC 2.1.1.-) (PR domain-containing protein 10) (Tristanin)
Q9NVE4	CGI_10019244	Coiled-coil domain-containing protein 87
Q9NVH0	CGI_10025079	Exonuclease 3'-5' domain-containing protein 2 (EC 3.1.11.1) (Exonuclease 3'-5' domain-like-containing protein 2)
Q9NYQ6	CGI_10006474	Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2)
Q9NZQ3	CGI_10018668	NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein)
Q9NZW4	CGI_10005214	Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)]
Q9P2D0	CGI_10015408	Inhibitor of Bruton tyrosine kinase (IBtk)
Q9QXG4	CGI_10021968	Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme)
Q9QYE0	CGI_10024836	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)
Q9R0D8	CGI_10014377	WD repeat-containing protein 54
Q9R1P4	CGI_10008810	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)
Q9R1R2	CGI_10001358	Tripartite motif-containing protein 3 (RING finger protein 22) (RING finger protein HAC1)
Q9U1M8	CGI_10002584	Myosin-I heavy chain (Class VII unconventional myosin) (DdMVII) (DdM7)
Q9UBB5	CGI_10011651	Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2)
Q9UHB9	CGI_10020564	Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein)
Q9UHJ3	CGI_10006381	Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1)
Q9UII5	CGI_10011721	Zinc finger protein 107 (Zinc finger protein 588) (Zinc finger protein ZFD25)
Q9UJX5	CGI_10027235	Anaphase-promoting complex subunit 4 (APC4) (Cyclosome subunit 4)
Q9UKD2	CGI_10014965	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)
Q9UKU7	CGI_10023025	Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)
Q9ULV0	CGI_10005126	Unconventional myosin-Vb
Q9UP83	CGI_10012067	Conserved oligomeric Golgi complex subunit 5 (COG complex subunit 5) (13S Golgi transport complex 90 kDa subunit) (GTC-90) (Component of oligomeric Golgi complex 5) (Golgi transport complex 1)
Q9VX32	CGI_10028030	Rho GTPase-activating protein 190 (Rho GTPase-activating protein of 190 kDa)
Q9W1W9	CGI_10025081	PRADC1-like protein (PAP21-like protein)
Q9WU70	CGI_10019031	Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)
Q9Y2G3	CGI_10003316	Probable phospholipid-transporting ATPase IF (EC 3.6.3.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)
Q9Y4A5	CGI_10005249	Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)
Q9YHZ6	CGI_10023236	Cell division control protein 45 homolog
Q9Z1J2	CGI_10010191	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2)
